firm;lei
Unibail-Rodamco-Westfield;
abrdn plc;0TMBS544NMO7GLCE7H90
Johnson Matthey PLC;2138001AVBSD1HSC6Z10
Kone Oyj;2138001CNF45JP5XZK38
Travis Perkins PLC;2138001I27OUBAF22K83
Rightmove PLC;2138001JXGCFKBXYB828
Vistry Group PLC;2138001KOWN7CG9SLK53
Phoenix Group Holdings PLC;2138001P49OLAEU33T68
easyJet PLC;2138001S47XKWIB7TH90
Schroders PLC;2138001YYBULX5SZ2H24
Glencore PLC;2138002658CPO9NBH955
United Utilities Group PLC;2138002IEYQAOC88ZJ59
Ringkjoebing Landbobank AS;2138002M5U5K4OUMVV62
Tesco PLC;2138002P5RNKC5W2JZ46
IMI PLC;2138002W9Q21PF751R30
Galp Energia SGPS SA;2138003319Y7NM75FG53
IG Group Holdings PLC;2138003A5Q1M7ANOUD76
Intertek Group PLC;2138003GAT25WW1RN369
IWG PLC;2138003LWDII27UTAG52
IWG PLC;2138003LWDII27UTAG52
Pearson PLC;2138004JBXWWJKIURC57
Publicis Groupe SA;2138004KW8BV57III342
Croda International PLC;2138004WCNBFJEEOXV26
Boliden AB;21380059QU7IM1ONDJ56
NatWest Group PLC;2138005O9XJIJN4JPN90
Sage Group PLCThe;2138005RN5XYLTF8G138
Shell PLC;21380068P1DRHMJ8KU70
S4 Capital PLC;21380068SP9V65KPQN68
Kinnevik AB;2138006PZH76JOS6MN27
Barratt Developments PLC;2138006R85VEOF5YNK29
Halma PLC;2138007FRGLUR9KGBT40
SGS SA;2138007JNS19JHNA2336
SGS SA;2138007JNS19JHNA2336
Bakkafrost PF;2138007LH7OP4V112978
Ashtead Group PLC;2138007UTBN8X9K1A235
Volume1_Investec PLC;2138007Z3U5GWDN3MY22
InterContinental Hotels Group PLC;2138007ZFQYRUSLU3J98
Wallenstam AB;21380081R2P9MKFQBD25
Taylor Wimpey PLC;21380089BTRXTD8S3R66
UCB SA;2138008J191VLSGY5A09
Tate & Lyle PLC;2138008K14474WPKZ244
Compass Group PLC;2138008M6MH9OZ6U2T68
Diploma PLC;2138008OGI7VYG8FGR19
Hargreaves Lansdown PLC;2138008ZCE93ZDSESG90
Watches of Switzerland Group PLC;2138008ZOT5K9PJW7168
Whitbread PLC;21380099VMZKRMN3EX36
Berkeley Group Holdings PLC;2138009OQSSLVVHQAL78
Rotork PLC;213800AH5RZIHGWRJ718
Vantage Towers AG;213800BBQO965UPQ7J59
UNITE Group PLCThe;213800BBUUWVDH9YI827
Derwent London PLC;213800BXKQ9KZNUR1M61
Wizz Air Holdings Plc;213800COXGZCORLJZA85
Bellway PLC;213800CY4L3HST4FGZ98
Kindred Group PLC;213800D1MJVOT6SNBX11
Valmet Oyj;213800D9O7FUQDH83V62
Ferguson PLC;213800DU1LGY3R2S2X42
Ultra Electronics Holdings PLC;213800E68EATZGAJIP64
Rolls-Royce Holdings PLC;213800EC7997ZBLZJH69
Davide Campari-Milano NV;213800ED5AN2J56N6Z02
Marks & Spencer Group PLC;213800EJP14A79ZG1X44
HomeServe PLC;213800EKBJTGNMXEDF11
Tele2 AB;213800EKD193RVI9HL76
Direct Line Insurance Group PLC;213800FF2R23ALJQOP04
Admiral Group PLC;213800FGVM7Z9EJB2685
British American Tobacco PLC;213800FKA5MF17RJKT63
Telia Co AB;213800FSR9RNDUOTXO25
Entain_PLC;213800GNI3K45LQR8L28
Entain_PLC;213800GNI3K45LQR8L28
JD Sports Fashion PLC;213800HROV6Y9MUU8375
Greggs PLC;213800I71QMUFJ64IW20
Avast PLC;213800IR8G8LCZH4BO27
Dechra Pharmaceuticals PLC;213800J4UVB5OWG8VX82
Legal & General Group PLC;213800JH9QQWHLO99821
Future PLC;213800K2581YRLEXV353
Kingfisher PLC;213800KBMEV7I92FY281
Howden Joinery Group PLC;213800KC1LJOJTY3JP45
Bridgepoint Group PLC;213800KFNMVI8PDZX472
Tritax Big Box REIT PLC;213800L6X88MIYPVR714
Barclays PLC;213800LBQA1Y9L22JB70
Barclays PLC;213800LBQA1Y9L22JB70
Wise PLC;213800LD9XCHIC1C4V71
ISS AS;213800LEZA58SZNCBN19
BP PLC;213800LH1BZH3DI6G760
Ocado Group PLC;213800LO8F61YB8MBC74
Mondi PLC;213800LOZA69QFDC9N34
BT Group PLC;213800LRO7NS5CYQMN21
ConvaTec Group PLC;213800LS272L4FIDOH92
